,text
910,sure thought that if the whole project is build on gradle will stick to one build technology
911,no those two are different databases vs couchdb
912,generally this is for microservices architecture systems there couple of reasons decided to go with namespace session data in large distributed system aspecially in microservices architecture can be pretty big having app and global namespaces reduces the amount of data to read every httpsession getsession invocation you can gain significant performance boost using session namespaces there is almost none additional complexity for developer if you don want to use them you can set the same namespace in all your apps in the system or use only global namespace maybe by default namespaces support could be turned off with namespaces multiple different microservices in the system can set or get session attribute of the same name without conflicting each other
913,ok ll change that
914,yes this is because of namespaces support
915,sure good idea
916,this is because delegatingsessionstrategy depends on servlet api
917,not quite sure it good idea from the ddd side the couchbasesessionrepository playes domian repository role for session entity and the couchbasedao is just data access object that communicates directly with couchbase server beside that joining those two guys will create quite big hard to read class in my opinion
918,right but you will notice that none of the other repository implementations have web dependencies in them doing this will cause package tangles erosion and package tangles really think we need to consider global namespace as its own thing as pr to add new repository should not contain web dependencies nor should it change anything out of its package structure
919,thanks think eventually we should do gradle too but most people that know gradle syntax know maven however people that know maven don know gradle
920,thanks for pointing that out did not read carefully
921,if we are going to consider global namespace it will need to be distinct ticket and pr we don want to change too much in one ticket commit as this makes troubleshooting difficult
922,ok understand can create such ticket and pr one important question here should the pr consider namespaces support only for data couchbase or maybe the changes should be global and made in the core spring session api expiringsession findbyindexnamesessionrepository etc or maybe it should be brand new session repository
923,thanks lets first create ticket and discuss if this is something we want to add to spring session it is quite likely useful feature but not entirely convinced spring session is the right place for it
924,thanks for the pr think prefer to allow the user to create the transactional boundary by exposing bean of particular name this aligns with spring session other points of customization for example this is how we users can provide custom serializers additionally using bean provides more flexibility for the user than the boolean flag on the annotation which can only be on or off what are your thoughts
925,see your point here you prefer to take less opinionated route on how to approach the transaction management within the jdbcoperationssessionrepository and instead of focusing on providing concrete solutions for detected problems with transactions we equip the users with flexiblity by setting their own transactionoperations implementation so they can come up with their own prefered solution guess this makes sense and it actually makes the job quite easier for us in terms of implementation as well as testing documentation should provide some concrete examples for this approach do you prefer to keep offer this only for write operations or read ones as well
926,thanks for the fast reply say we should do transactions or reads also
927,ve updated the pr please share your thoughts documentation is still pending
928,would still prefer using requires new propagation behaviour as sane default because would personally expect this to just work without extra configuration my previous suggestion was to avoid introducing unnecessary configuration for the time being but the behaviour on rollback is not quite the same with session persist after succesful commit
929,fwiw agree with you on requires new being the sane default however has so far insisted on opt in approach for transactional behavior with argument that transactions as an expensive operation might not be needed wanted by all users
930,thanks for your feedback ve been doing some more thinking about this and think you two have convinced me that my approach was not ideal we should work out of the box so think you two are right that we should create the transactions by default what more is we can always make it optional later on and still remain passive if we start without requiring it and it causes problems we are stuck with this default to remain passive sorry on flip flopping on this but hopefully getting to the right answer is some consultation do you mind updating the pr to take these changes into account
931,sorry on flip flopping on this but hopefully getting to the right answer is some consultation always in favor of thinking things through bit more even at the expense of delaying things so on that from my side no problems on updating the pr ll take care of that soon now that we ve decided what the default behavior is the question is what means do we provide for changing the defaults what more is we can always make it optional later on and still remain passive if we start without requiring it and it causes problems we are stuck with this default to remain passive if reading this correctly you wouldn provide an option for users to disable transactions right now but rather at some later stage if there need for this
932,so on that from my side glad to hear that no problems on updating the pr ll take care of that soon awesome thanks if reading this correctly you wouldn provide an option for users to disable transactions right now but rather at some later stage if there need for this correct
933,ve updated the pr
934,thanks for the pr this is now merged into master
935,thanks again for the pr this is now merged into master you are really rocking the prs lately keep them coming
936,rocket
937,thanks
938,thanks for the pr this is now merged into master
939,thanks for the pr you are really rocking spring session as of late provided few comments inline
940,thank you
941,ve updated the pr
942,ve updated the pr again this time to replace bootstrap css files with webjars
943,nice work thanks for the pr this is now merged into master
944,is this necessary with newer versions of boot thought this was automatically setup to console via consoleautoconfiguration
945,can we add no format tags around these methods so they are formatted correctly
946,you re absolutely correct to make my oversight more comical ve just used boot console auto configuration in one of my projects few days ago
947,on sidenote websocket sample could also be changed to use auto configuration for console
948,happens to me sometimes too it just shows you are long time boot user
949,yes we can ve copied the class from the original boot sample together with formatting and added what needed for this sample
950,on sidenote websocket sample could also be changed to use auto configuration for console good point created
951,moonlight thanks for the pr this build is failing due to check style errors also curious if you can answer projects spring session issues issuecomment
952,yep answered question
953,moonlight thanks
954,thanks for catching this this is now merged into master
955,thanks for the pr had one question inline
956,ve updated the pr
957,thanks for the pr this is now merged into master
958,is there reason that we cannot just set and get the lastaccessedtime on the delegate
959,ahh yes we can ll change the rowmapper to update the deserialized delegate with lastaccessedtime from column it will also minimize the impact in other places
960,thanks
961,thanks for the pr moonlight this is now merged into master via bd cec
962,thanks for submitting this ll wait for the second half before merging reviewing in detail one thing we will want to ensure we have is some tests to ensure this is working
963,no problem took first stab at the docs too could use second set of eyes on that as well
964,tests adapted from the spring boot example can be run by gradlew integrationtest
965,thanks for the updates some feedback we should add this project to settings gradle include samples grails the build is not currently passing get the following error integrationtest sample homespec anonymous page not redirected to login failed java lang illegalstateexception caused by org springframework boot context embedded embeddedservletcontainerexception caused by java lang illegalstateexception perhaps we can change test index to be the index at the context root so users don have an additional step
966,the tests are passing just didn have random port assigned the boot gradle example didnt work in grails but found one that does the root is not protected then test is protected resource in the tests think it valuable to leave both tests in anon ok and anon redirect pushed up the changes let me know
967,thanks for the pr this is now merged into master have applied bit of polish via ef ba fadd
968,thanks for the pr this is now merged into master
969,thanks for the pr this is now merged into master
970,closing re opening to force new ci build failure seems unrelated to these changes the build passes for me locally
971,thanks for the pr wonder if we want to enable this for the sample applications too what are your thoughts
972,ve considered using this in sample app too but eventually decided to limit use to integration tests my reasoning was the following flapdoodle on its website oss github io de flapdoodle embed mongo clearly states the project is aimed at running mongo in tests so we should follow this imo sample apps should provide realistic use case of how to use the framework sample apps include instructions on how to browse the session data using clients for underlying technology used to persist sessions meaning you need mongo client at least anyway to fully benefit from sample app and don know how mongo client would work with an embedded flapdoodle instance this is in contrast to jdbc samples for example which use database since is full blown rdbms which also offers easily embeddable web client
973,thank you for your feedback somewhat see your point about the samples needing to provide realistic experience for users however we do not want any extra noise for setting up samples fladoodle should certainly not be used in production but think it is ideal for helping users run sample application we are testing the sample with fladoodle so that is how users should experience it since we know that is what works finally fladoodle is just downloading the executable and forking process that starts up full fledged mongo instance this means that this does not differ much from using an embedded relational database
974,if we go with flapdoodle to back the sample app what happens with the part of the guide that describes usage of mongo client to query and alter data how does it work section
975,you can still connect to mongo when using fladoodle using any mongo client
976,yes aware of that but if you have mongo client it highly likely you also have mongo server installed as well that was one of my arguments for not moving sample app to flapdoodle but ok if that your preference ll move the sample app to flapdoodle there one more thing that crossed my mind today and ve completely neglected it during initial implementation embedded flapdoodle instance needs to use random port to avoid any potential conflicts that means in sample app scenario we also need to communicate this port to the user is logging the port on startup good enough for this
977,thanks for the response but if you have mongo client it highly likely you also have mongo server installed as well that was one of my arguments for not moving sample app to flapdoodle that is fair however think there are many people that will not care about performing the steps with the client they just want to get it running we should have disclaimer that you must have client installed within the guide that means in sample app scenario we also need to communicate this port to the user is logging the port on startup good enough for this this is an option alternatively and probably preferably we could default the port to using the standard port and ensure our test configuration overrides this to random port
978,we should have disclaimer that you must have client installed within the guide ok alternatively and probably preferably we could default the port to using the standard port and ensure our test configuration overrides this to random port even though this means sample app fails to start for users that run mongo instance locally this is somewhat in contradiction to we do not want any extra noise for setting up samples argument
979,even though this means sample app fails to start for users that run mongo instance locally this is somewhat in contradiction to we do not want any extra noise for setting up samples argument that is good point let stick with logging perhaps it could even log if you have the mongo client installed this is the command to connect
980,yes that should be doable ll look into it and update the pr accordingly soon
981,ve updated the pr please review the changes still need to update the guide ll take care of this when we finalize the implementation
982,thanks for the fast turnaround overall looks good had one comment inline when you update the documentation make sure that the guide either does not show the flapdoodle config or it describes that this is just necessary to start mongo and not going to happen in real world example
983,when you update the documentation make sure that the guide either does not show the flapdoodle config or it describes that this is just necessary to start mongo and not going to happen in real world example yes of course mongo related config in sample app is in separate class the original class that contains asciidoc tags was left untouched
984,it completely slipped my mind that we could use spring boot auto configuration for an embedded mongodb instance ll change this in next update
985,ve updated the pr with the documentation guide also tried the boot embedded mongodb auto configuration support however ve run into spring projects spring boot not to confuse the users with this exception even though its harmless as it occurs on shutdown ve decided to stick with manual config until this gets fixed in boot your thoughts update somehow managed to miss the fact that this exception on shutdown also happens when we use manual conf so ll update this to auto configuration anyway also it appears that nothing within boot itself would be able to fix this behavior
986,thanks for digging into this so deep and for the quality pr this is now merged into master
987,just curious why was necessary
988,good thing you pointed this out can be removed now ve had issues similar to ones described in with my initial implementation since had static port config for embedded mongodb instance moving to randomly assigned port fixed this
989,thanks for the pr unfortuantely this causes the following error when importing into eclipse description resource path location type unbound classpath container jre system library javase in project spring session data redis spring session data redis build path build path problem haven had time to investigate it yet perhaps that is something you can resolve
990,this seems to be coming from gradle eclipse integration for all spring session eclipse projects settings has org eclipse jdt core prefs generated with following org eclipse jdt core compiler source have to investigate more on the exact code in gradle causing this we can keep this pr on hold for now
991,closing this request for now will re submit if find solution to eclipse integration
992,nice have not had chance to dig into this too much yet but wonder how much of the default auto configure this negates projects spring boot blob df ce dfa spring boot autoconfigure src main java org springframework boot autoconfigure jackson jacksonautoconfiguration java wonder if it could be packaged up to auto configures after the default configuration and enhance it if conditional property is set or some such thing am sure it was probably not your intention to worry about this for sample but am thinking about making it reusable as well thanks
993,hmm nvm see there is no on your objectmapper and its probably better to use separate one anyway considering the need for default typing etc will have to try it out someone on my team just asked me for this so maybe it will save me some time thanks
994,wow this is awesome need to spend little more time reviewing this on monday thank you for submitting this we may want to get some of the jackson support moved to spring security as this would be beneficial in many other contexts ll review on monday and we can go from there thanks for this
995,ps if contributing the jackson support is something that interests you please comment on projects spring security issues if we can get some tests added for the support that will be good start getting this into spring security proper thanks again
996,this sample doesn use jackson default auto configure haven focused on jacksonautoconfiguration to configure objectmapper think we can use jackson objectmapperbuilder to build objectmapper and register all the mix ins by doing this we can take advantage of default auto configure
997,sounds good to me ll comment on that just wanted to confirm about test cases you want tests for mix in classes right
998,thanks for the fast reply yes would like to ensure we have some tests for the mix in classes at that point we can add the mixins to spring security
999,also in terms of jacksonautoconfiguration this is something we can do later if we have the support there at least it can be done even if it is little more work we will be releasing spring security rc on wednesday so it would be ideal for us to get it in before that however that is probably not realistic so we may need to wait until another release
1000,ve added tests for mix in classes
1001,objectmapper configuration changed now all mixins will be used from pull request projects spring security pull mixin classes in this code sample will be removed once pull request projects spring security pull is merged into spring security
1002,thanks for the pr this was merged via ac dc ac also applied bit of polish for your review ea eac fe cf went ahead with the release so that we could stay on schedule if you have feedback for changes we can include that in the next release
1003,thanks for the pr this is merged via ea also added some polish cbde afaaa de cee fe for your review
1004,thanks for the pr this is now merged into master
1005,thanks for the pr this is now merged into master
1006,thanks for the pr this is fixed via bdcbc efbe applied little polish to fix the checkstyle in ff ae fe cac eb
1007,thanks for the pr this is now merged in via ced faf applied some fixes polish in bbbdf baa
1008,thanks for testing the jdbc repository and pointing this out not sure how managed to disregard the inactivity interval during initial implementation
1009,thanks for the pr this is now merged into master ps like to recognize contributors for their work do you prefer link to your github profile twitter linked in etc
1010,thanks for reviewing this
1011,happy to help its good to see an official jdbc implementation finally we were using our own implementation until noticed this you can link to my github profile if you want to credit me although this is the tiniest of bugfixes
1012,every fix is important thanks again take it the provided approach is going to work for you then
1013,yep its perfect thanks the only problem have unrelated to this is that the session filter creates session after each request and can see how to disable this for certain urls we have monitoring tools that poll status page every seconds and at session per hit this adds up to lot of database rows if the session timeout is minutes but that separate issue obviously
1014,thanks for the response with code you can enable debugging for org springframework session and it will provide stacktrace as to you where session is created it is likely something in your code that creates the session jsp
1015,this might be of interest to you need to take look and figure out how to polish this up soon projects spring session pull
1016,ve updated the pr documentation now references the actual schema scripts to provide examples
1017,looking at seems you merged this commit however the pr itself is still open any reason not to close it
1018,thanks for pointing this out closing
1019,it would probably be good to use an include pointing to the actual classpath resource files we use
1020,thanks for the pr this is now merged into master
1021,awesome
1022,thanks for the pr this is now merged into master also resolved which will automatically setup the proper eclipse settings for code format save actions checkstyle setup etc
1023,thanks for the pr few things looks like there is duplicate submission this makes lot of changes without explanations as to why they need changed can you elaborate on why the changes are necessary we can then determine which changes should be merged and break the issues up into distinct issues and commits
1024,hi this pull request is about master branch the submission today if the developer need to customize sessionrepositoryfilter or redisoperationssessionrepository it impossible the developer need to rewrite all code of this classes in my case have sessions main session security etc app session my application can have many apps
1025,first should be closed as duplicate don think understood your response second need more details on what you are trying to solve
1026,now understand that is against close that pr since we are only accepting bug fixes for
1027,ve application named ceap that user can create many sub application named customapp every customapp have different classes and one classloader need to have different session per customapp ceap session principal basic information customapp session one session per customapp different redisnamespace different redisserializer other classloader this session only have objects of customapp the configuration file of customapp set different namespace and use the custom sessionrepository and sessionrepositoryfilter java public class customrootsessionconfiguration extends redishttpsessionconfiguration other methods name customrootredismessagelistenercontainer public redismessagelistenercontainer redismessagelistenercontainer redisconnectionfactory connectionfactory customrootsessionrepository redisoperationssessionrepository messagelistener return super redismessagelistenercontainer connectionfactory messagelistener name customrootsessionrepository public redisoperationssessionrepository sessionrepository sessionredistemplate redisoperations sessionredistemplate applicationeventpublisher applicationeventpublisher setredisnamespace customroot customredisoperationssessionrepository sessionrepository new customredisoperationssessionrepository sessionredistemplate sessionrepository setapplicationeventpublisher applicationeventpublisher sessionrepository setdefaultmaxinactiveinterval maxinactiveintervalinseconds if defaultredisserializer null sessionrepository setdefaultserializer defaultredisserializer string redisnamespace getredisnamespace if stringutils hastext redisnamespace sessionrepository setrediskeynamespace redisnamespace sessionrepository setredisflushmode redisflushmode return sessionrepository name customrootspringsessionrepositoryfilter public sessionrepositoryfilter extends expiringsession springsessionrepositoryfilter customrootsessionrepository sessionrepository sessionrepository sessionrepositoryfilter sessionrepositoryfilter new customrootsessionrepositoryfilter sessionrepository sessionrepositoryfilter setservletcontext servletcontext sessionrepositoryfilter sethttpsessionstrategy httpsessionstrategy return sessionrepositoryfilter java public class customrootsessionrepositoryfilter extends sessionrepositoryfilter constructors public customrootsessionrepositoryfilter sessionrepository sessionrepository super sessionrepository other methods protected void dofilterinternal httpservletrequest request httpservletresponse response filterchain filterchain throws servletexception ioexception string customrootname customrootutils getcustomrootname request getrequesturi if stringutils isempty customrootname filterchain dofilter request response return super dofilterinternal request response filterchain protected sessionrepositoryrequestwrapper wraprequest httpservletrequest request httpservletresponse response sessionrepositoryrequestwrapper sessionrepositoryrequestwrapper new sessionrepositoryrequestwrapper request response servletcontext sessionrepository httpsessionstrategy sessionrepositoryrequestwrapper setsessionattribute customsessionrepositoryrequestwrapper sessionrepositoryrequestwrapper getsession return sessionrepositoryrequestwrapper created sessionattribute field to change the name of session objects attribute because the class sessionrepositoryrequestwrapper save cache on request setattribute to don get objects of ceap session java sessionrepositoryrequestwrapper setsessionattribute customsessionrepositoryrequestwrapper this filter run before the custom app run java public class customredisoperationssessionrepository extends redisoperationssessionrepository constructors public customredisoperationssessionrepository redisconnectionfactory redisconnectionfactory super redisconnectionfactory public customredisoperationssessionrepository redisoperations sessionredisoperations super sessionredisoperations interface methods interface sessionrepository public redissession getsession string id redissession redissession super getsession id if redissession null redissession new redissession new mapsession id return redissession override method getsession to get the customapp session if the session is null created new redissession empty with the same sessionid if don override this method the code will be create new session with different sessionid and changed the cookie
1028,my commit only open possibility to extended redis repository override methods and can change the wrap request or response with other classes without rewrite many many code thanks
1029,thanks for the response from what understand you can do this without any changes to spring session you can create new instance of sessionrepositoryfilter for each customapp the customapp sessionrepositoryfilter will only intercept requests for the specific customapp by either changing the servlet mappings or using something like spring security delegatingfilterproxy my concern about the proposed changes is that this appears to be bit of an edge case while understand why you need these changes don want to make the code more complicated for the case as outlined above think you can fairly easily achieve this without changes for these reasons closing this as won fix if you have additional questions on getting this working please don hesitate to reach out on stackoverflow preferred or github issues ps if you don get response on stackoverflow you should within day or so feel free to ping us via github issues
1030,hi do this have filters ceap sessionrepositoryfilter customapp customsessionrepositoryfilter but when the second filter run the filter get the session of ceap because we have today this code below on sessionrepositoryfilter java class sessionrepositoryrequestwrapper java public httpsessionwrapper getsession boolean create httpsessionwrapper currentsession getcurrentsession if currentsession null return currentsession the method getcurrentsession it cache that put the session on request java private void setcurrentsession httpsessionwrapper currentsession if currentsession null removeattribute current session attr else setattribute current session attr currentsession to change the current session attr created field named sessionattribute to have on the request more than one session on cache sessionrepositoryrequestwrapper setsessionattribute customsessionrepositoryrequestwrapper
1031,you should only invoke sessionrepositoryfilter on requests that are not customsessionrepositoryfilter
1032,now understand this is on the branch we are only accepting patches on so am going to close this
1033,thanks for the pr this is merged into master via af
1034,thanks for the pr this is merged in via af
1035,thanks for the pr this is now merged into master
1036,thanks for the pr not sure we want to modify the samples to use gemfire we can always add more samples but we do not want to change the existing samples
1037,you can discard the commits for the changes to the security users samples or it maybe nice to include different configurations for spring session supported stores and provide instructions on how to change stores when running the samples of course the default could be to use redis and preserve the work you have already done either way no worries
1038,thanks just wanted to make sure wasn missing something will just use ee
1039,thanks for the pr this is now merged into master via be df
1040,thanks for the pr have provided few comments but will need to revisit this once we start work on this should be rather shortly as we hope to have out this week depending on one last issue getting resolved
1041,thanks for the review ll update the pr accordingly over the next few days
1042,ve updated the pr with following changes cleanup of expired sessions is now done using single sql statement delete support for publishing sessiondestroyedevent and its subclasses has been removed jdbcoperationssessionrepository constructor which takes datasource and constructs default jdbctemplate has been added tests have been updated according to aforementioned changes javadoc updates fixed integration tests for new sample projects sql statements are still in enum like to see your feedback on my latest comments on this subject
1043,thanks for this pr use concurrenthashmap for the querycache access and fill can be concurrent for what is the prefix when then would allow to change the whole table name not just the prefix personally would not use the enum approach just simple string which can be overwritten
1044,thanks for your feedback since tableprefix is not intended to be changed in runtime concurrency is not an issue however synchronizing querycache operations inside getquery method might be good idea prefix allows for limited customization of table name this is common approach used in many frameworks for example spring integration spring batch quartz scheduler etc to avoid possible name clashes with other entities in your app and make it possible to have multiple repo backed by the same database schema
1045,ve updated the pr again with the following changes moved sql scripts to org springframework session jdbc and updated references accordingly polished modifiers bit in jdbcoperationssessionrepository
1046,thanks again for sending this pr starting full review of this pr now
1047,sql statements are still in enum like to see your feedback on my latest comments on this subject you said projects spring session pull discussion ahh see you like to have something similar to way security jdbcdaoimpl provides sql customization options also considered this initially but opted to go the route seen in integration jdbcmessagestore my reasoning was that in practice the session object is closer to integration message than it is to security userdetails due to session being entity which is internal to the framework unlike userdetails which is often derived and constructed from some application domain entity provided by users that why the enum approach seemed like good approach to me thanks for the response would still like these to be static final strings rather than enums see where you got the idea from know this is coding style change especially since this is all private however making this change will better align with spring session code style and provide consistency in the project additionally it will make it easier to allow custom queries very little effort if we every go down that path
1048,thanks for the full review ll update the pr with your suggestions within day or two
1049,ve updated the pr with following changes move queries from enum to string constants allowed default table name to be customized instead of just table prefix completely removed event publishing use converter interface for session de serialization customization replace mapsession references with expiringsession interface other misc improvements from your comments rebased to the current master still owe you the persistence optimization in cases when only lastaccessedtime is updated need to think bit about that one in the meantime you can review other changes
1050,thanks for the updates still owe you the persistence optimization in cases when only lastaccessedtime is updated need to think bit about that one in the meantime you can review other changes you can have boolean on the jdbcsession that is changed when any property other than lastaccesedtime is set if the boolean changes then you would persist everything else persist only the lastaccessedtime in fact you might keep track of if lastaccessedtime is written too and only persist if that changes you would likely need different sql statement that could be injected for this special case
1051,you can have boolean on the jdbcsession that is changed when any property other than lastaccesedtime is set if the boolean changes then you would persist everything else persist only the lastaccessedtime in fact you might keep track of if lastaccessedtime is written too and only persist if that changes something along those lines boolean flags was my initial idea also thanks
1052,ve updated the pr with improved optimized persistence strategy test cases to cover all the scenarios on save operation were also added
1053,have you signed the cla projects spring session blob master contributing adoc sign the contributor license agreement
1054,whoops sorry forgot to mention it in the opening comment yes ve signed the cla also did some work on the docs for this new feature but didn finish it yet
1055,thanks applied some very minor polish but other than that think things are ready to merge you mention also did some work on the docs for this new feature but didn finish it yet can you elaborate is this something that we need to wait on or can merge now
1056,was referring to documentation docs module no need to wait for merging can open new pr for the docs if that ok with you
1057,thanks for the clarification just wanted to make sure we were both ready for the merge putting some final polish on things and will merge once that is done
1058,created for the documentation of the samples ideally we will have the documentation before we perform release
1059,thanks again for the pr this is now merged via cd applied some polish via cfe and ffa dac bbe
1060,rather than first querying and then deleting this could just be delete which would prevent loading all the session ids in memory and reduce overhead on the database
1061,think would prefer to use private static final strings here
1062,unfortunately this will not publish the applicationevent for every node in the cluster for this reason think we should just not publish the event and establish this as limitation of the datastore this ties in with why we can simply perform delete rather than looking up the session id first
1063,note see projects spring session pull files
1064,initially considered implementing it that way for the same reasons but that would mean sessionexpiredevent wouldn be fired
1065,agreed not sure how and why this one slipped through as public
1066,thanks see projects spring session pull files
1067,should be more clear not sure like the enum would only use strings as this aligns with spring coding conventions edit eventually we may make these injectable queries too which would make the enum difficult to work with
1068,ok this approach also covers the cleanup strategy then
1069,ahh see you like to have something similar to way security jdbcdaoimpl provides sql customization options also considered this initially but opted to go the route seen in integration jdbcmessagestore my reasoning was that in practice the session object is closer to integration message than it is to security userdetails due to session being entity which is internal to the framework unlike userdetails which is often derived and constructed from some application domain entity provided by users that why the enum approach seemed like good approach to me
1070,looks like the solution is stolen from the spring integration projects spring integration blob master spring integration jdbc src main java org springframework integration jdbc jdbcmessagestore java not sure if we really have some gain from the enum but that might be some hash performance producing for the hashmap key
1071,stolen is such harsh word previous comment clearly stated the origin of the approach taken here as well as this comment projects spring session issues issuecomment did in the original issue if something is valid and proven approach to given problem why not reuse it
1072,sorry if that really sounded so hurting really wasn going to say anything bad nor to you nor to the approach just was going to explain to that there might no reason to nit pick to this code from other side steal isn applied between spring projects you use code from one spring project in the another therefore this word should be treated as enough soft anyway got your point and will use the more formal language in the future smile
1073,no harm done that why used in the previous comment we re on the same page
1074,is this necessary
1075,certainly not it seems like intellij gradle plugin messing with gradle conf remember fixing something similar in settings gradle prior to pushing the initial commit but it slipped in the updated commit
1076,on interface methods won compile in eclipse please remove this
1077,if we keep this need to add publishevent to work with spring which we now compile with
1078,agree with about the table prefix projects spring session pull issuecomment if you need to allow customizing the queries then allow the entire query to be injected
1079,this won be available to all jvm instances which is inconsistent with the way spring session works we should probably remove this
1080,if we change to using strings for the queries then this can be simplified for example we won need querycache we won need to worry about concurrent access to querycache projects spring session pull issuecomment in fact this method could be deleted
1081,we should probably use interface type declaration for deserializer and serializer
1082,move spring security context to principalnameresolver since that is the only place it is used
1083,also default the table to spring session to be more explicit
1084,change to converter
1085,change argument type to converter
1086,at some point in the javadoc we should probably include the default schema that should be used with this
1087,it would probably be good to have some sort of optimization to allow only updating the lastupdatetime if that is all that was changed this would be beneficial so that the entire session does not need to be serialized every time
1088,change to rowmapper this will involve changing all the references to mapsession too
1089,let use springsessionjdbcoperations as the qualifier
1090,yeah figured that out myself in the meantime
1091,ok so assuming we take the strings for queries route you like to also remove the possibility of changing just table prefix in that case users would need to provide custom queries just to the change table prefix consider the case where there are multiple apps sharing the same database schema in order to avoid conflicts only the table prefix needs to be changed forcing users to provide custom queries in that case is configuration overkill imo if we keep table prefix option we need some sort of getquery method and cache would certainly be beneficial to prevent string manipulation on each sessionrepository operation
1092,in that case users would need to provide custom queries just to the change table prefix consider the case where there are multiple apps sharing the same database schema in order to avoid conflicts only the table prefix needs to be changed forcing users to provide custom queries in that case is configuration overkill imo we probably wouldn advice placing something like session in shared database although this would still be possible with little bit of work typically different applications would use different username password for their database connection the different users could have different default schema which would isolate the sessions we could certainly create separate ticket for adding table prefix and see if it gets enough votes but don think we add something like this in an initial release once we add something it cannot be removed
1093,we re very often in situation where customer owns the database and all we get is schema with limited privileges meaning we have multiple services that share the same schema agree it not great situation but its completely out our control therefore think allowing users to customize the table prefix is not some exotic requirement but rather failry common thing we heavily rely on with other frameworks we use regulary spring integration integration docs release reference html jdbc html jdbc message store generic spring batch batch trunk reference html configurejob html repositorytableprefix quartz scheduler scheduler org generated html qs all page quartz scheduler documentation set fre jtx jdbc jobstoretx configuration html not to drag this any further ll update the pr soon according to your preferences but expect another pr to provide the table prefix customization as soon as you merge this one
1094,thank you for your response would table name work vs just prefix we could have setter that contains modifies the table name of every query only if they are using the default queries
1095,yes of course that would be great
1096,thanks for the pr this is now merged via bf fdd
1097,few related observations even though the findbyindexnamesessionrepository javadoc claims that spring session is not aware of the authentication mechanism being used concrete implementations are still somewhat tied to spring security ve made it possible to set custom principalnameresolver in redisoperationssessionrepository however savedelta method still relies on spring security context key abstractgemfireoperationssessionrepository requires some refactoring to make it possible to customize principalnameresolver if this pr is accepted can tackle this some time later if gemfire integration author cannot do it
1098,thanks for the pr while can see that this looks like good idea don think we want to do this just yet the reason we have duplicated the logic is because we want to keep the implementation details private so they can change later you may notice that right now the api is specific to resolving principal name however findbyindexnamesessionrepository supports finding by generic index name this means we would likely want to update the api to support generic index names however we will not have enough time to do this before things go ga another consideration is that we would like to see what shapes up from the redis support projects spring data redis pull files diff ffe ba we may find we can simply use some spring data commons support rather than providing our own currently in talks with the spring data team about this idea for these reasons going to close this pr and in favor of for us to address this once we know what is happening within spring data thank you for pointing out this was undocumented issue thanks again for the pr sorry the issue wasn documented looking forward to seeing support for
1099,thanks for the insight understand your reasoning the changes provided with this pr would ve been more natural fit with findbyindexnamesessionrepository predecessor findbyprincipalnamesessionrepository since move to more generic index name base repository is made the same should apply to the proposed resolver be happy to make another contribution when shapes up with more concrete details pr to address is coming soon ll just duplicate principalnameresolver logic
1100,thanks ll try and remember to bump you when we know what path to take looking forward to that pr with this and the mongo support think that is going to be coming before we know it
